Unnamed: 0,is_pick,hero_id,team,order,ord,match_id,radiant_win,id,localized_name
3,False,19,0,3,3,5574238201,False,19,Tiny
3,False,19,1,3,3,5574226581,False,19,Tiny
5,True,19,1,5,5,5574237046,False,19,Tiny
1,False,19,0,1,1,5574246088,True,19,Tiny
7,True,19,1,7,7,5574317538,False,19,Tiny
1,False,19,1,1,1,5574364907,True,19,Tiny
3,False,19,1,3,3,5574427463,True,19,Tiny
3,False,19,1,3,3,5574417941,False,19,Tiny
4,True,19,1,4,4,5574447187,True,19,Tiny
3,False,19,1,3,3,5574470710,False,19,Tiny
6,True,19,1,6,6,5574494772,True,19,Tiny
5,True,19,1,5,5,5574491737,False,19,Tiny
2,False,19,0,2,2,5574518175,False,19,Tiny
22,True,19,0,22,22,5574594320,True,19,Tiny
3,False,19,0,3,3,5574628178,True,19,Tiny
14,True,19,1,14,14,5574632301,True,19,Tiny
21,False,19,1,21,21,5574661081,True,19,Tiny
1,False,19,0,1,1,5574678296,True,19,Tiny
17,True,19,0,17,17,5574721871,True,19,Tiny
3,False,19,1,3,3,5574726760,True,19,Tiny
6,True,19,1,6,6,5574751939,True,19,Tiny
6,True,19,0,6,6,5574778532,True,19,Tiny
17,True,19,0,17,17,5574787025,True,19,Tiny
4,True,19,1,4,4,5574785532,True,19,Tiny
1,False,19,0,1,1,5574844973,False,19,Tiny
19,False,19,0,19,19,5574844217,True,19,Tiny
2,False,19,1,2,2,5574871901,False,19,Tiny
9,False,19,0,9,9,5574864989,False,19,Tiny
21,False,19,1,21,21,5574875870,False,19,Tiny
4,True,19,1,4,4,5574889663,True,19,Tiny
4,True,19,1,4,4,5574920380,False,19,Tiny
4,True,19,0,4,4,5574944960,True,19,Tiny
5,True,19,0,5,5,5574961471,True,19,Tiny
20,False,19,0,20,20,5574949349,True,19,Tiny
5,True,19,1,5,5,5575016836,True,19,Tiny
4,True,19,1,4,4,5575174770,True,19,Tiny
2,False,19,1,2,2,5574987884,False,19,Tiny
16,True,19,1,16,16,5575037590,False,19,Tiny
4,True,19,0,4,4,5575006389,True,19,Tiny
20,False,19,1,20,20,5575105284,True,19,Tiny
14,True,19,0,14,14,5575197423,True,19,Tiny
0,False,19,1,0,0,5575265047,True,19,Tiny
4,True,19,1,4,4,5575753797,False,19,Tiny
1,False,19,1,1,1,5575483532,True,19,Tiny
14,True,19,0,14,14,5575353308,False,19,Tiny
6,True,19,0,6,6,5575804706,True,19,Tiny
4,True,19,0,4,4,5575534509,True,19,Tiny
10,False,19,1,10,10,5575846005,True,19,Tiny
1,False,19,0,1,1,5575764598,False,19,Tiny
5,True,19,1,5,5,5575691083,False,19,Tiny
3,False,19,0,3,3,5575617512,False,19,Tiny
15,True,19,1,15,15,5575462161,True,19,Tiny
2,False,19,0,2,2,5575544197,False,19,Tiny
4,True,19,1,4,4,5575676144,False,19,Tiny
4,True,19,1,4,4,5575832045,False,19,Tiny
